siren;statutDiffusionUniteLegale;unitePurgeeUniteLegale;dateCreationUniteLegale;sigleUniteLegale;sexeUniteLegale;prenom1UniteLegale;prenom2UniteLegale;prenom3UniteLegale;prenom4UniteLegale;prenomUsuelUniteLegale;pseudonymeUniteLegale;identifiantAssociationUniteLegale;trancheEffectifsUniteLegale;anneeEffectifsUniteLegale;dateDernierTraitementUniteLegale;nombrePeriodesUniteLegale;categorieEntreprise;anneeCategorieEntreprise;dateDebut;etatAdministratifUniteLegale;nomUniteLegale;nomUsageUniteLegale;denominationUniteLegale;denominationUsuelle1UniteLegale;denominationUsuelle2UniteLegale;denominationUsuelle3UniteLegale;categorieJuridiqueUniteLegale;activitePrincipaleUniteLegale;nomenclatureActivitePrincipaleUniteLegale;nicSiegeUniteLegale;economieSocialeSolidaireUniteLegale;societeMissionUniteLegale;caractereEmployeurUniteLegale
317339752;O;true;01/01/1979;;;;;;;;;;;;22/03/2024 14:26;2;;;25/12/1986;A;;;CLUB DES MININES;;;;9210;91.3E;NAF1993;14;;;
319294831;O;;01/01/1980;;;;;;;;;;02;2022.0;22/03/2024 14:26;5;PME;2022.0;01/01/2016;A;;;FONDATION ARP;;;;9300;74.90B;NAFRev2;15;O;;
319310587;O;;01/04/1980;;;;;;;;;;NN;2022.0;22/03/2024 14:26;7;PME;2022.0;26/06/2023;A;;;FONDATION LOUIS JOU;;;;9300;91.02Z;NAFRev2;13;O;;
319647350;O;;01/07/1980;CCLOV;;;;;;;;;;;22/03/2024 14:26;3;;;25/12/1998;A;;;COMITE CENTRE LOISIRS OEUVRES VACANCES;;;;9210;55.2E;NAF1993;10;;;
319659389;O;;18/08/1980;JCER;;;;;;;;;;;22/03/2024 14:26;4;;;01/01/2008;A;;;JEUNE CHAMBRE ECONOMIQUE ST DENIS REUNIO;;;;9210;94.99Z;NAFRev2;13;;;
